date,index
2000-02-18,102.7
2000-03-17,103.2
2000-04-14,103.7
2000-05-16,103
2000-06-14,103.1
2000-07-18,103.7
2000-08-16,103.5
2000-09-15,103.4
2000-10-18,103.5
2000-11-16,103.4
2000-12-15,103.4
2001-01-17,103.4
2001-02-21,103.8
2001-03-21,103.6
2001-04-17,103
2001-05-16,103.3
2001-06-15,103.7
2001-07-18,103.3
2001-08-16,102.8
2001-09-18,102.8
2001-10-19,102.6
2001-11-16,102.1
2001-12-14,101.9
2002-01-16,101.6
2002-02-20,101.1
2002-03-21,101.1
2002-04-16,101.5
2002-05-15,101.6
2002-06-18,101.2
2002-07-19,101.1
2002-08-16,101.5
2002-09-18,101.8
2002-10-18,101.5
2002-11-19,102
2002-12-17,102.2
2003-01-16,102.4
2003-02-21,102.6
2003-03-21,103
2003-04-16,103
2003-05-16,102.2
2003-06-17,102.1
2003-07-16,102.1
2003-08-15,102.1
2003-09-16,102.2
2003-10-16,102.3
2003-11-18,102
2003-12-16,101.8
2004-01-15,101.9
2004-02-20,101.9
2004-03-17,101.7
2004-04-14,101.7
2004-05-14,102.3
2004-06-15,103.1
2004-07-16,103.3
2004-08-17,103
2004-09-16,102.7
2004-10-19,102.5
2004-11-17,103.2
2004-12-17,103.5
2005-01-19,103.3
2005-02-23,103
2005-03-23,103
2005-04-20,103.1
2005-05-18,103.5
2005-06-15,102.8
2005-07-14,102.5
2005-08-16,103.2
2005-09-15,103.6
2005-10-14,104.7
2005-11-16,104.3
2005-12-15,103.5
2006-01-18,103.4
2006-02-22,104
2006-03-16,103.6
2006-04-19,103.4
2006-05-17,103.5
2006-06-14,104.2
2006-07-19,104.3
2006-08-16,104.1
2006-09-15,103.8
2006-10-18,102.1
2006-11-16,101.3
2006-12-15,102
2007-01-18,102.5
2007-02-21,102.1
2007-03-16,102.4
2007-04-17,102.8
2007-05-15,102.6
2007-06-15,102.7
2007-07-18,102.7
2007-08-15,102.4
2007-09-19,102
2007-10-17,102.8
2007-11-15,103.5
